pdb_id,cluster,n_ligands,best_refinement,path,representative
1m13,1,1,refinement_1,data/rerefined/pxr_rerefined_structures/1m13/1m13.pdb,False
1nrl,2,1,refinement_1,data/rerefined/pxr_rerefined_structures/1nrl/1nrl.pdb,True
1skx,1,1,refinement_1,data/rerefined/pxr_rerefined_structures/1skx/1skx.pdb,False
2o9i,3,1,unrefined,data/rerefined/pxr_rerefined_structures/2o9i/2o9i.pdb,False
2qnv,1,1,refinement_1,data/rerefined/pxr_rerefined_structures/2qnv/2qnv.pdb,False
3hvl,2,1,refinement_1,data/rerefined/pxr_rerefined_structures/3hvl/3hvl.pdb,False
3r8d,1,1,refinement_1,data/rerefined/pxr_rerefined_structures/3r8d/3r8d.pdb,False
4ny9,1,1,refinement_1,data/rerefined/pxr_rerefined_structures/4ny9/4ny9.pdb,False
4s0t,3,1,refinement_1,data/rerefined/pxr_rerefined_structures/4s0t/4s0t.pdb,False
4x1f,4,1,refinement_1,data/rerefined/pxr_rerefined_structures/4x1f/4x1f.pdb,False
4x1g,4,2,refinement_1,data/rerefined/pxr_rerefined_structures/4x1g/4x1g.pdb,False
4xhd,1,1,refinement_1,data/rerefined/pxr_rerefined_structures/4xhd/4xhd.pdb,False
5a86,2,1,refinement_1,data/rerefined/pxr_rerefined_structures/5a86/5a86.pdb,False
5x0r,2,1,refinement_1,data/rerefined/pxr_rerefined_structures/5x0r/5x0r.pdb,False
6bns,3,1,refinement_1,data/rerefined/pxr_rerefined_structures/6bns/6bns.pdb,True
6dup,1,1,refinement_1,data/rerefined/pxr_rerefined_structures/6dup/6dup.pdb,False
6hj2,1,1,refinement_1,data/rerefined/pxr_rerefined_structures/6hj2/6hj2.pdb,False
6hty,5,1,unrefined,data/rerefined/pxr_rerefined_structures/6hty/6hty.pdb,False
6nx1,2,1,unrefined,data/rerefined/pxr_rerefined_structures/6nx1/6nx1.pdb,False
6p2b,3,1,refinement_1,data/rerefined/pxr_rerefined_structures/6p2b/6p2b.pdb,False
6s41,2,1,unrefined,data/rerefined/pxr_rerefined_structures/6s41/6s41.pdb,False
6tfi,0,1,refinement_2,data/rerefined/pxr_rerefined_structures/6tfi/6tfi.pdb,False
6xp9,2,1,unrefined,data/rerefined/pxr_rerefined_structures/6xp9/6xp9.pdb,False
7ax9,4,1,refinement_1,data/rerefined/pxr_rerefined_structures/7ax9/7ax9.pdb,True
7axa,1,1,refinement_1,data/rerefined/pxr_rerefined_structures/7axa/7axa.pdb,False
